path,types,file,snippet
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds,object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds.dc:Bounds,object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds.dc:Bounds.x,number,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds.dc:Bounds.y,number,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds.dc:Bounds.width,number,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape.bounds.dc:Bounds.height,number,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.$type,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.targetNamespace,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.exporter,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.exporterVersion,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements,array,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[],object,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].$type,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].isExecutable,boolean,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements,array,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements[],object,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements[].$type,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements[].name,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.rootElements[].flowElements[].gatewayDirection,string,/workspaces/ablation_study/no_few_shot_no_constraints/16/16.json,
$.definitions.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.rootElements[].flowElements[].attachedToRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.rootElements[].laneSets,array,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams,array,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[],object,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].name,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane,object,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements,array,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[],object,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].outgoing,array;string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].incoming,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].outgoing[],string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.flowElements[].attachedToRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows,array,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[],object,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[].bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[].sourceRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[].targetRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.diagrams[].plane.sequenceFlows[].conditionExpression,string,/workspaces/ablation_study/no_few_shot_no_constraints/29/29.json,
$.definitions.process.laneSets,array,/workspaces/ablation_study/no_few_shot_no_constraints/41/41.json,
$.definitions.rootElements[].$type,string,/workspaces/ablation_study/no_few_shot_no_constraints/52/52.json,
$.definitions.$type,string,/workspaces/ablation_study/no_few_shot_no_constraints/52/52.json,
$.bpmn:Definitions.rootElements[].bpmn:Process.flowElements[].bpmn:EndEvent,object,/workspaces/ablation_study/no_few_shot_no_constraints/54/54.json,
$.bpmn:Definitions.rootElements[].bpmn:Process.flowElements[].bpmn:EndEvent.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/54/54.json,
$.bpmn:Definitions.rootElements[].bpmn:Process.flowElements[].bpmn:EndEvent.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/54/54.json,
