folder,process,modeler_file,modeler_prompt,modeler_completion,modeler_total,parser_file,parser_prompt,parser_completion,parser_total,combined_prompt,combined_completion,combined_total,full_file,full_total
single_agent,16,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/16_full_response.json,7661
single_agent,18,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/18_full_response.json,8474
single_agent,24,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/24_full_response.json,5723
single_agent,27,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/27_full_response.json,7312
single_agent,29,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/29_full_response.json,7123
single_agent,32,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/32_full_response.json,7856
single_agent,41,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/41_full_response.json,4867
single_agent,52,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/52_full_response.json,4412
single_agent,53,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/53_full_response.json,4502
single_agent,54,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/54_full_response.json,4502
single_agent,55,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/55_full_response.json,7879
ttpm-mistral-medium,processes_01,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_01/modeler_metadata.json,11664,1384,13048,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_01/parser_metadata.json,,,,11664,1384,13048,,
ttpm-mistral-medium,processes_02,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_02/modeler_metadata.json,11715,3418,15133,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_02/parser_metadata.json,,,,11715,3418,15133,,
ttpm-mistral-medium,processes_03,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_03/modeler_metadata.json,12208,1444,13652,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_03/parser_metadata.json,,,,12208,1444,13652,,
ttpm-mistral-medium,processes_15,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_15/modeler_metadata.json,12059,2234,14293,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_15/parser_metadata.json,,,,12059,2234,14293,,
ttpm-mistral-medium,processes_16,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_16/modeler_metadata.json,12547,5361,17908,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_16/parser_metadata.json,,,,12547,5361,17908,,
ttpm-mistral-medium,processes_18,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_18/modeler_metadata.json,14335,7197,21532,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_18/parser_metadata.json,,,,14335,7197,21532,,
ttpm-mistral-medium,processes_24,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_24/modeler_metadata.json,11987,1907,13894,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_24/parser_metadata.json,,,,11987,1907,13894,,
ttpm-mistral-medium,processes_27,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_27/modeler_metadata.json,12681,3782,16463,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_27/parser_metadata.json,,,,12681,3782,16463,,
ttpm-mistral-medium,processes_29,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_29/modeler_metadata.json,11678,2654,14332,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_29/parser_metadata.json,,,,11678,2654,14332,,
ttpm-mistral-medium,processes_32,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_32/modeler_metadata.json,12495,7022,19517,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_32/parser_metadata.json,,,,12495,7022,19517,,
ttpm-mistral-medium,processes_41,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_41/modeler_metadata.json,11381,1755,13136,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_41/parser_metadata.json,,,,11381,1755,13136,,
ttpm-mistral-medium,processes_52,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_52/modeler_metadata.json,11190,1198,12388,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_52/parser_metadata.json,,,,11190,1198,12388,,
ttpm-mistral-medium,processes_53,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_53/modeler_metadata.json,11113,1057,12170,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_53/parser_metadata.json,,,,11113,1057,12170,,
ttpm-mistral-medium,processes_54,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_54/modeler_metadata.json,11375,1011,12386,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_54/parser_metadata.json,,,,11375,1011,12386,,
ttpm-mistral-medium,processes_55,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_55/modeler_metadata.json,12272,3753,16025,/workspaces/ablation_study/full/ttpm-mistral-medium/processes_55/parser_metadata.json,,,,12272,3753,16025,,
